full_name;type;alpha;seed;value;feasible
lr210_t2_12R_12V_04F_04M;t2;0.1;52;1343.06;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;52;4588.12;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;52;5815.11;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;52;6173.02;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;52;7951.26;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;52;8629.16;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;52;10811.93;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;52;12140.56;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;52;12032.22;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;59;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;59;651.63;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;59;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;59;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;59;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;59;988.23;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;59;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.1;59;1338.34;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;59;4609.63;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;59;5911.22;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;59;6190.69;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;59;7972.38;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;59;8742.88;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;59;10451.86;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;59;11992.73;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;59;11812.18;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;66;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;66;651.63;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;66;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;66;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;66;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;66;998.54;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;66;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.1;66;1335.82;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;66;4577.05;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;66;5895.08;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;66;5956.98;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;66;7958.32;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;66;8648.23;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;66;10792.61;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;66;12133.29;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;66;11840.7;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;73;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;73;650.73;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;73;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;73;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;73;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;73;994.98;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;73;1394.97;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.1;73;1340.15;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;73;4457.6;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;73;5866.22;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;73;6189.45;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;73;7826.71;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;73;8650.96;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;73;10780.84;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;73;11913.33;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;73;12193.02;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;80;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;80;654.25;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;80;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;80;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;80;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;80;990.85;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;80;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.1;80;1340.4;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;80;4614.29;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;80;5796.1;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;80;6087.1;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;80;7715.03;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;80;8756.82;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;80;10653.11;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;80;12122.07;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;80;12173.51;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;87;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;87;651.63;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;87;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;87;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;87;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;87;973.33;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;87;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.1;87;1334.33;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;87;4440.81;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;87;5741.94;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;87;6257.55;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;87;7878.73;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;87;8710.59;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;87;10674.28;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;87;11988.58;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;87;12137.9;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.15;24;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.15;24;653.6;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.15;24;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.15;24;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.15;24;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.15;24;973.52;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.15;24;1399.97;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.15;24;1334.33;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.15;24;4692.68;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.15;24;5971.37;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.15;24;6061.86;TRUE
