full_name;type;alpha;seed;value;feasible
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;87;6439;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;87;3272.02;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;87;6138;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;87;6695.1;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;87;10595.92;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;87;6891.84;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;87;7205.08;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.15;24;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.15;24;550.57;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.15;24;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.15;24;621.53;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.15;24;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.15;24;880.86;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.15;24;834.52;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.15;24;903.65;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.15;24;3978.25;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.15;24;6557.72;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.15;24;3364.68;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.15;24;6236.84;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.15;24;6632.35;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.15;24;10553.99;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.15;24;6860.72;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.15;24;7370.73;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.15;31;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.15;31;552.29;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.15;31;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.15;31;623.07;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.15;31;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.15;31;873.57;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.15;31;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.15;31;890.64;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.15;31;3959.7;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.15;31;6456.1;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.15;31;3380.19;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.15;31;5994.29;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.15;31;6615.9;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.15;31;11078.31;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.15;31;7163.87;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.15;31;7524.25;TRUE
