name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr203;12R_12V_02I_04M;t2;0.05;24;1101.49;TRUE;237.6;lr203_t2_12R_12V_02I_04M;12;29242;115.95;60000;0;12.31
lr204;12R_12V_02I_03M;t2;0.05;24;838.34;TRUE;223.79;lr204_t2_12R_12V_02I_03M;12;8596;32.96;60000;0;5.29
lr204;12R_12V_02I_04M;t2;0.05;24;838.34;TRUE;238.71;lr204_t2_12R_12V_02I_04M;12;8596;35.05;60000;0;5.38
lr205;12R_12V_02I_03M;t2;0.05;24;903.33;TRUE;190.97;lr205_t2_12R_12V_02I_03M;12;48067;153.12;60000;0;24.46
lr205;12R_12V_02I_04M;t2;0.05;24;902.48;TRUE;202.99;lr205_t2_12R_12V_02I_04M;12;48067;162.57;60000;0;24.58
lr101;12R_12V_04I_03M;t1;0.05;24;1397.09;TRUE;14.46;lr101_t1_12R_12V_04I_03M;12;6086;1.76;60000;99.82;20
lr101;12R_12V_04I_04M;t1;0.05;24;1311.95;TRUE;37.22;lr101_t1_12R_12V_04I_04M;12;18932;12.17;60000;88.88;20.03
lr102;12R_12V_04I_03M;t1;0.05;24;993.9;TRUE;69.21;lr102_t1_12R_12V_04I_03M;12;5737;6.89;60000;62.48;12.2
lr102;12R_12V_04I_04M;t1;0.05;24;984.64;TRUE;132.36;lr102_t1_12R_12V_04I_04M;12;157;0.7;60000;18.52;13.44
lr103;12R_12V_04I_03M;t1;0.05;24;798.7;TRUE;108.25;lr103_t1_12R_12V_04I_03M;12;53272;96.15;60000;56.37;9.07
lr103;12R_12V_04I_04M;t1;0.05;24;793.44;TRUE;175.32;lr103_t1_12R_12V_04I_04M;12;26456;77.6;60000;17.64;8.55
lr104;12R_12V_04I_03M;t1;0.05;24;847.82;TRUE;177.97;lr104_t1_12R_12V_04I_03M;12;479;1.78;60000;8.07;7.85
lr104;12R_12V_04I_04M;t1;0.05;24;847.82;TRUE;195.83;lr104_t1_12R_12V_04I_04M;12;3883;13.08;60000;0.28;7.21
lr105;12R_12V_04I_03M;t1;0.05;24;834.01;TRUE;78.66;lr105_t1_12R_12V_04I_03M;12;31677;41.75;60000;58.24;16.1
lr105;12R_12V_04I_04M;t1;0.05;24;833.29;TRUE;145.11;lr105_t1_12R_12V_04I_04M;12;26445;64.6;60000;12.54;16.87
lr201;12R_12V_04I_03M;t2;0.05;24;1452.66;TRUE;184.65;lr201_t2_12R_12V_04I_03M;12;9896;31.11;60000;0;21.1
lr201;12R_12V_04I_04M;t2;0.05;24;1452.19;TRUE;195.2;lr201_t2_12R_12V_04I_04M;12;9896;32.83;60000;0;21.42
lr202;12R_12V_04I_03M;t2;0.05;24;1052.05;TRUE;194.41;lr202_t2_12R_12V_04I_03M;12;5583;18.35;60000;24.02;26.44
lr202;12R_12V_04I_04M;t2;0.05;24;1018.39;TRUE;247.42;lr202_t2_12R_12V_04I_04M;12;9874;40.92;60000;1.68;28.15
lr203;12R_12V_04I_03M;t2;0.05;24;882.13;TRUE;294.62;lr203_t2_12R_12V_04I_03M;12;20892;103.28;60000;0;14.4
lr203;12R_12V_04I_04M;t2;0.05;24;873.33;TRUE;317.37;lr203_t2_12R_12V_04I_04M;12;20892;111.37;60000;0;15.13
